SEVERITY: Error
  GROUP: Connectivity
    drc-107 - [schematic: Turbot, component: $5I13] None of component input pins connected
    drc-114 - [schematic: Turbot, component: $3I377] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I152] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I436] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I564] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I615] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I658] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I696] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I761] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $6I817] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $7I535] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $7I811] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $7I823] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $7I847] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $7I872] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $7I908] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $12I66] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $12I467] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $13I677] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $13I744] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $14I29] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $14I43] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $14I88] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $14I220] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $14I274] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $14I301] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $15I60] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $15I174] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $15I279] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $16I161] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $16I228] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I130] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I209] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I386] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I398] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I589] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I640] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I653] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $18I667] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $21I195] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I141] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I295] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I308] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I595] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I677] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I744] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I957] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I985] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $22I1052] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I55] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I67] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I79] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I103] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I117] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I129] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I142] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I167] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I205] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I242] Dipole only connected to input pins
